clean_text,category
:face_with_tears_of_joy:,1
:broken_heart:,-1
:red_heart:,1
:loudly_crying_face:,-1
:smiling_face_with_heart-eyes:,1
:rose:,1
:slightly_smiling_face:,1
:two_hearts:,1
:grinning_face_with_sweat:,1
:blue_heart:,1
:pensive_face:,-1
:beaming_face_with_smiling_eyes:,1
:green_heart:,1
:ok_hand:,1
:thumbs_up:,1
:yellow_heart:,1
:unamused_face:,-1
:crying_face:,-1
:flexed_biceps:,1
:cherry_blossom:,1
:weary_face:,-1
:purple_heart:,1
:smiling_face_with_smiling_eyes:,1
:heart_suit:,1
:face_blowing_a_kiss:,1
:thinking_face:,-1
:raised_hand:,1
:rolling_on_the_floor_laughing:,0
:sparkles:,1
:pouting_face:,-1
:winking_face:,-1
:expressionless_face:,-1
:smiling_face_with_sunglasses:,1
:smirking_face:,-1
:grinning_face:,-1
:folded_hands:,1
:tulip:,1
:backhand_index_pointing_down:,0
:smiling_face:,1
:neutral_face:,-1
:clapping_hands:,1
:heart_with_arrow:,1
:sparkling_heart:,1
:fire:,1
:new_moon_face:,1
:saudi_arabia:,1
:hibiscus:,1
:leaf_fluttering_in_wind:,1
:face_savoring_food:,-1
:disappointed_face:,-1
:face_with_steam_from_nose:,-1
:black_heart:,-1
:red_circle:,-1
:growing_heart:,1
:relieved_face:,1
:person_walking:,-1
:bouquet:,1
:revolving_hearts:,1
:sleeping_face:,-1
:wilted_flower:,1
:grimacing_face:,-1
:victory_hand:,1
:flushed_face:,-1
:confused_face:,-1
:see-no-evil_monkey:,-1
:herb:,1
:person_shrugging:,0
:slightly_frowning_face:,-1
:sad_but_relieved_face:,-1
:beating_heart:,1
:regional_indicator_symbol_letter_a:,1
:blossom:,1
:woman_dancing:,1
:person_facepalming:,-1
:winking_face_with_tongue:,-1
:glowing_star:,1
:dove:,1
:regional_indicator_symbol_letter_s:,1
:white_heavy_check_mark:,1
:sleepy_face:,-1
:soccer_ball:,1
:persevering_face:,-1
:musical_notes:,1
:person_running:,0
:frowning_face:,-1
:kissing_face_with_closed_eyes:,1
:face_with_rolling_eyes:,-1
:thumbs_down:,-1
:grinning_face_with_smiling_eyes:,1
:backhand_index_pointing_left:,-1
:pushpin:,-1
:face_screaming_in_fear:,-1
:hugging_face:,1
:crown:,1
:zipper-mouth_face:,-1
:cat_face_with_tears_of_joy:,1
:oncoming_fist:,-1
:angry_face:,-1
:downcast_face_with_sweat:,-1
:face_with_medical_mask:,-1
:sunflower:,1
:dizzy:,1
:heavy_check_mark:,1
:grinning_face_with_big_eyes:,1
:collision:,-1
:anxious_face_with_sweat:,-1
:face_without_mouth:,-1
:tired_face:,-1
:nauseated_face:,-1
:egypt:,1
:trophy:,1
:upside-down_face:,-1
:speak-no-evil_monkey:,-1
:fallen_leaf:,1
:musical_score:,1
:kissing_face:,0
:grinning_squinting_face:,-1
:morocco:,1
:cross_mark:,-1
:raising_hands:,1
:round_pushpin:,0
:smiling_face_with_halo:,1
:kiss_mark:,1
:party_popper:,1
:maple_leaf:,1
:kissing_face_with_smiling_eyes:,1
:ribbon:,1
:love_letter:,1
:smiling_cat_face_with_heart-eyes:,1
:kitchen_knife:,-1
:bell_with_slash:,-1
:thought_balloon:,1
:writing_hand:,1
:confounded_face:,-1
:sweat_droplets:,0
:no_entry:,-1
:sun:,1
:palm_tree:,1
:seedling:,1
:open_hands:,1
:snowflake:,1
:gem_stone:,1
:worried_face:,-1
:waving_hand:,1
:balloon:,1
:hot_beverage:,1
:birthday_cake:,1
:white_medium_star:,1
:exclamation_mark:,-1
:prohibited:,-1
:face_with_head-bandage:,-1
:tunisia:,1
:musical_note:,1
:books:,0
:hot_springs:,1
:butterfly:,1
:hundred_points:,1
:eyes:,1
:squinting_face_with_tongue:,-1
:sun_with_face:,1
:cloud_with_rain:,1
:four_leaf_clover:,1
:sheaf_of_rice:,1
:high_voltage:,1
:index_pointing_up:,0
:heart_with_ribbon:,1
:pencil:,1
:rainbow:,1
:fearful_face:,-1
:frog_face:,-1
:violin:,1
:astonished_face:,-1
:movie_camera:,1
:heavy_heart_exclamation:,1
:person_raising_hand:,1
:backhand_index_pointing_right:,0
:heart_decoration:,1
:grinning_cat_face:,1
:wrapped_gift:,1
:pizza:,1
:person_gesturing_ok:,1
:small_blue_diamond:,1
:confetti_ball:,1
:small_orange_diamond:,1
:airplane:,1
:kuwait:,1
:heavy_large_circle:,1
:full_moon_face:,0
:united_arab_emirates:,1
:sneezing_face:,-1
:handshake:,1
:hushed_face:,-1
:memo:,1
:skull:,-1
:backhand_index_pointing_up:,-1
:evergreen_tree:,1
:woman:,1
:regional_indicator_symbol_letter_e:,1
:light_bulb:,0
:face_with_open_mouth:,-1
:qatar:,0
:face_with_tongue:,-1
:television:,0
:crying_cat_face:,-1
:italy:,0
:raised_back_of_hand:,1
:shamrock:,1
:microphone:,0
:bell:,0
:left_arrow:,0
:nerd_face:,1
:hatching_chick:,1
:cloud:,1
:cloud_with_lightning_and_rain:,1
:alarm_clock:,1
:rocket:,1
:bomb:,-1
:red_triangle_pointed_up:,0
:raised_fist:,0
:cherries:,1
:money_bag:,0
:drooling_face:,1
:question_mark:,-1
:hand_with_fingers_splayed:,1
:umbrella_with_rain_drops:,1
:shooting_star:,1
:oman:,1
:yemen:,1
:sun_behind_small_cloud:,1
:man:,1
:cross_mark_button:,0
:iraq:,0
:stadium:,1
:person_bowing:,-1
:link:,0
:smiling_face_with_horns:,0
:face_with_thermometer:,-1
:double_exclamation_mark:,-1
:fleur-de-lis:,1
:tongue:,1
:dizzy_face:,-1
:blue_circle:,0
:ghost:,-1
:top_arrow:,1
:vs_button:,0
:ballot_box_with_check:,1
:warning:,-1
:american_samoa:,1
:crescent_moon:,1
:exclamation_question_mark:,-1
:middle_finger:,-1
:dollar_banknote:,1
:graduation_cap:,1
:anguished_face:,-1
:heavy_minus_sign:,1
:algeria:,1
:direct_hit:,1
:mobile_phone:,1
:globe_showing_europe-africa:,1
:diamond_suit:,-1
:anger_symbol:,1
:down_arrow:,1
:front-facing_baby_chick:,1
:ring:,1
:trident_emblem:,1
:regional_indicator_symbol_letter_t:,1
:black_circle:,-1
:stopwatch:,0
:envelope_with_arrow:,1
:globe_showing_asia-australia:,-1
:eye:,0
:red_triangle_pointed_down:,0
:camera_with_flash:,1
:loudspeaker:,0
:triangular_flag:,1
:headphone:,1
:jordan:,1
:large_orange_diamond:,-1
:money_with_wings:,0
:shortcake:,1
:cactus:,0
:reminder_ribbon:,1
:nail_polish:,1
:spiral_calendar:,0
:repeat_button:,1
:studio_microphone:,1
:frowning_face_with_open_mouth:,-1
:cloud_with_snow:,1
:sun_behind_cloud:,1
:wavy_dash:,1
:heavy_multiplication_x:,-1
:honey_pot:,1
:globe_showing_americas:,-1
:stop_sign:,0
:call_me_hand:,1
:mosque:,1
:water_wave:,1
:camera:,1
:megaphone:,-1
:sparkler:,1
:zzz:,1
:pill:,1
:cigarette:,0
:1st_place_medal:,1
:open_book:,1
:clown_face:,-1
:black_small_square:,-1
:white_flower:,1
:counterclockwise_arrows_button:,1
:regional_indicator_symbol_letter_k:,1
:right_arrow_curving_down:,1
:tanabata_tree:,1
:libya:,0
:couple_with_heart:,1
:black_nib:,1
:desktop_computer:,0
:diamond_with_a_dot:,1
:white_small_square:,0
:pouting_cat_face:,-1
:droplet:,1
:cat_face_with_wry_smile:,-1
:lebanon:,1
:balance_scale:,-1
:video_camera:,0
:radio_button:,0
:japanese_symbol_for_beginner:,1
:regional_indicator_symbol_letter_w:,1
:white_circle:,1
:sweden:,-1
:chocolate_bar:,1
:man_dancing:,1
:angry_face_with_horns:,-1
:fountain_pen:,1
:hammer:,-1
:bust_in_silhouette:,1
:speech_balloon:,1
:eight-spoked_asterisk:,1
:strawberry:,1
:kaaba:,1
:postal_horn:,1
:envelope:,1
:recycling_symbol:,1
:hear-no-evil_monkey:,-1
:regional_indicator_symbol_letter_m:,1
:ledger:,-1
:person_tipping_hand:,-1
:lollipop:,1
:crossed_swords:,1
:brazil:,1
:comet:,-1
:fish_cake_with_swirl:,1
:regional_indicator_symbol_letter_y:,1
:dashing_away:,1
:large_blue_diamond:,0
:police_officer:,0
:pistol:,-1
:hamburger:,-1
:regional_indicator_symbol_letter_o:,1
:bride_with_veil:,1
:dolphin:,1
:bow_and_arrow:,1
:pile_of_poo:,-1
:baby:,0
:tear-off_calendar:,1
:red_apple:,1
:sign_of_the_horns:,1
:bright_button:,1
:locked_with_key:,0
:sudan:,0
:rosette:,1
:ireland:,1
:person_getting_massage:,1
:cookie:,1
:top_hat:,1
:snake:,-1
:regional_indicator_symbol_letter_p:,-1
:left_speech_bubble:,-1
:keycap_digit_zero:,1
:beer_mug:,-1
:ear:,-1
:back_arrow:,-1
:candy:,1
:man_and_woman_holding_hands:,1
:downwards_button:,-1
:clapper_board:,1
:watch:,1
:clockwise_vertical_arrows:,1
:doughnut:,1
:ice_cream:,1
:côte_d’ivoire:,0
:no_one_under_eighteen:,-1
:peach:,-1
:milky_way:,1
:eagle:,1
:grapes:,1
:french_fries:,-1
:syria:,1
:automobile:,0
:guitar:,1
:girl:,1
:hourglass_not_done:,1
:deciduous_tree:,1
:bar_chart:,0
:dog:,-1
:honeybee:,1
:horse:,1
:lion_face:,1
:house_with_garden:,-1
:russia:,1
:chequered_flag:,1
:princess:,1
:person_gesturing_no:,-1
:regional_indicator_symbol_letter_g:,1
:paw_prints:,1
:syringe:,-1
:house:,0
:shaved_ice:,1
:three_o’clock:,0
:satellite_antenna:,0
:police_car_light:,0
:full_moon:,0
:eggplant:,0
:candle:,1
:postbox:,0
:scroll:,-1
:ewe:,-1
:australia:,0
:hole:,0
:eight-pointed_star:,1
:horse_face:,0
:mobile_phone_with_arrow:,1
:stop_button:,0
:camel:,1
:fireworks:,1
:calendar:,-1
:telephone_receiver:,1
:bookmark:,0
:incoming_envelope:,1
:ghana:,0
:speaking_head:,-1
:ogre:,-1
:newspaper:,0
:blond-haired_person:,-1
:skull_and_crossbones:,-1
:open_mailbox_with_raised_flag:,1
:game_die:,0
:person_frowning:,-1
:boy:,1
:drum:,1
:european_union:,0
:ram:,-1
:iran:,-1
:bahrain:,1
:speaker_high_volume:,0
:soft_ice_cream:,1
:chart_increasing:,0
:glasses:,1
:old_man:,0
:dagger:,-1
:goblin:,-1
:japan:,-1
:person_swimming:,0
:right_anger_bubble:,-1
:mouth:,0
:pen:,1
:crossed_fingers:,0
:person_wearing_turban:,0
:man’s_shoe:,-1
:green_apple:,1
:repeat_single_button:,-1
:dim_button:,0
:tornado:,1
:popcorn:,1
:old_woman:,-1
:sunset:,1
:oncoming_automobile:,0
:flag_in_hole:,0
:prayer_beads:,1
:linked_paperclips:,1
:military_medal:,1
:artist_palette:,1
:sunrise:,1
:soon_arrow:,0
:sparkle:,1
:regional_indicator_symbol_letter_r:,-1
:footprints:,-1
:regional_indicator_symbol_letter_i:,0
:woman’s_sandal:,-1
